2026-01-21 14:49:34 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:49:35 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: PCALL"}}}
2026-01-21 14:49:36 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:49:37 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:50:03 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:50:03 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:50:03 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:50:39 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:50:39 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:50:39 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:53:53 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^PCALL"}}}
2026-01-21 14:53:53 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:53:54 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: PCALL"}}}
2026-01-21 14:53:55 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:53:56 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:54:25 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:54:25 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:54:25 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:54:59 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:54:59 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 14:54:59 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 22:27:10 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^PCALL"}}}
2026-01-21 22:27:10 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 22:27:11 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: PCALL"}}}
2026-01-21 22:27:12 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 22:27:12 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 22:27:38 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 22:27:38 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 22:27:38 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 22:28:13 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 22:28:14 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 22:28:14 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 22:30:47 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^PCALL"}}}
2026-01-21 22:30:47 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 22:30:48 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: PCALL"}}}
2026-01-21 22:30:48 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 22:30:49 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 22:31:16 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 22:31:16 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-21 22:31:16 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
